Time     Temperature!     Force
176.712000 33.050000 33.050000 
176.832000 28.000000 28.000000 
177.173000 33.140000 33.140000 
177.294000 28.000000 28.000000 
177.632000 33.190000 33.190000 
177.754000 28.000000 28.000000 
178.074000 33.150000 33.150000 
178.194000 28.000000 28.000000 
178.536000 33.160000 33.160000 
178.657000 28.000000 28.000000 
178.998000 33.120000 33.120000 
179.118000 28.000000 28.000000 
179.438000 33.100000 33.100000 
179.559000 28.000000 28.000000 
179.898000 33.090000 33.090000 
180.018000 28.000000 28.000000 
180.339000 33.150000 33.150000 
180.459000 28.000000 28.000000 
180.799000 33.090000 33.090000 
180.919000 28.000000 28.000000 
181.259000 33.050000 33.050000 
181.379000 28.000000 28.000000 
181.698000 33.070000 33.070000 
181.818000 28.000000 28.000000 
182.156000 33.020000 33.020000 
182.276000 28.000000 28.000000 
182.613000 32.980000 32.980000 
182.733000 28.000000 28.000000 
183.072000 33.010000 33.010000 
183.192000 28.000000 28.000000 
183.532000 32.960000 32.960000 
183.652000 28.000000 28.000000 
183.983000 33.040000 33.040000 
184.103000 28.000000 28.000000 
184.423000 32.910000 32.910000 
184.543000 28.000000 28.000000 
184.883000 33.010000 33.010000 
185.003000 28.000000 28.000000 
185.343000 33.010000 33.010000 
185.463000 28.000000 28.000000 
185.781000 32.980000 32.980000 
185.903000 28.000000 28.000000 
186.245000 33.020000 33.020000 
186.365000 28.000000 28.000000 
186.704000 32.970000 32.970000 
186.824000 28.000000 28.000000 
187.163000 33.010000 33.010000 
187.283000 28.000000 28.000000 
187.603000 32.980000 32.980000 
187.723000 28.000000 28.000000 
188.064000 32.950000 32.950000 
188.185000 28.000000 28.000000 
188.525000 32.950000 32.950000 
188.646000 28.000000 28.000000 
188.965000 32.860000 32.860000 
189.085000 28.000000 28.000000 
189.425000 32.880000 32.880000 
189.546000 28.000000 28.000000 
189.866000 32.920000 32.920000 
189.986000 28.000000 28.000000 
190.326000 32.950000 32.950000 
190.446000 28.000000 28.000000 
190.786000 32.900000 32.900000 
190.907000 28.000000 28.000000 
191.230000 32.800000 32.800000 
191.351000 28.000000 28.000000 
191.691000 32.880000 32.880000 
191.811000 28.000000 28.000000 
192.153000 32.850000 32.850000 
192.274000 28.000000 28.000000 
192.594000 32.850000 32.850000 
192.715000 28.000000 28.000000 
193.054000 32.780000 32.780000 
193.174000 28.000000 28.000000 
193.513000 32.830000 32.830000 
193.634000 28.000000 28.000000 
193.953000 32.840000 32.840000 
194.076000 28.000000 28.000000 
194.415000 32.740000 32.740000 
194.536000 28.000000 28.000000 
194.859000 32.810000 32.810000 
194.979000 28.000000 28.000000 
195.320000 32.800000 32.800000 
195.441000 28.000000 28.000000 
195.779000 32.760000 32.760000 
195.899000 28.000000 28.000000 
196.217000 32.840000 32.840000 
196.337000 28.000000 28.000000 
196.678000 32.800000 32.800000 
196.798000 28.000000 28.000000 
197.137000 32.780000 32.780000 
197.258000 28.000000 28.000000 
197.580000 32.700000 32.700000 
197.687000 28.000000 28.000000 
198.033000 32.700000 32.700000 
198.153000 28.000000 28.000000 
198.495000 32.760000 32.760000 
198.602000 28.000000 28.000000 
198.948000 32.760000 32.760000 
199.068000 28.000000 28.000000 
